Referencia interna;Nombre;Precio de venta;Cantidad a mano;Unidad de medida
BBLT00L;BATA BALTIMORE TINK (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BBLT00M;BATA BALTIMORE TINK (COLOR: BLANCO/TALLA: M);49.00;0;Unidades
BBLT00S;BATA BALTIMORE TINK (COLOR: BLANCO/TALLA: S);49.00;0;Unidades
BBLT00XL;BATA BALTIMORE TINK (COLOR: BLANCO/TALLA: XL);49.00;1;Unidades
BBLT00XS;BATA BALTIMORE TINK (COLOR: BLANCO/TALLA: XS);49.00;1;Unidades
BBLT00XXL;BATA BALTIMORE TINK (COLOR: BLANCO/TALLA: XXL);49.00;1;Unidades
BAFULLORCASPMO028--L;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: L);49.00;0;Unidades
BAFULLORCASPMO028--M;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: M);49.00;0;Unidades
BAFULLORCASPMO028--S;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: S);49.00;0;Unidades
BAFULLORCASPMO028-XL;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: XL);49.00;0;Unidades
BAFULLORCASPMO028XXL;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: XXL);49.00;0;Unidades
BAFULLORCASPMO020--L;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: L);49.00;0;Unidades
BAFULLORCASPMO020--M;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: M);49.00;0;Unidades
BAFULLORCASPMO020--S;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: S);49.00;0;Unidades
BAFULLORCASPMO020-XL;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: XL);49.00;0;Unidades
BAFULLORCASPMO020XXL;BATA FULL HOMBRE STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: XXL);49.00;0;Unidades
BAFULLORDASPMO028--L;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: L);49.00;0;Unidades
BAFULLORDASPMO028--M;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: M);49.00;0;Unidades
BAFULLORDASPMO028--S;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: S);49.00;0;Unidades
BAFULLORDASPMO028-XL;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: XL);49.00;0;Unidades
BAFULLORDASPMO028-XS;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: XS);49.00;0;Unidades
BAFULLORDASPMO028XXL;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: CAMEL/TALLA: XXL);49.00;0;Unidades
BAFULLORDASPMO020--L;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: L);49.00;0;Unidades
BAFULLORDASPMO020--M;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: M);49.00;0;Unidades
BAFULLORDASPMO020--S;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: S);49.00;0;Unidades
BAFULLORDASPMO020-XL;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: XL);49.00;0;Unidades
BAFULLORDASPMO020-XS;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: XS);49.00;0;Unidades
BAFULLORDASPMO020XXL;BATA FULL MUJER STRECH PREMIUM MONCLARE (COLOR: MARINO/TALLA: XXL);49.00;0;Unidades
BGRCWA00L;BATA GIORNO HOMBRE WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BGRCWA00M;BATA GIORNO HOMBRE WIN (COLOR: BLANCO/TALLA: M);49.00;0;Unidades
BGRCWA00S;BATA GIORNO HOMBRE WIN (COLOR: BLANCO/TALLA: S);49.00;0;Unidades
BGRCWA00XL;BATA GIORNO HOMBRE WIN (COLOR: BLANCO/TALLA: XL);49.00;0;Unidades
BGRCWA00XXL;BATA GIORNO HOMBRE WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
BCSMW00L;BATA HOMBRE SMITH WIN (COLOR: BLANCO/TALLA: L);49.00;0;Unidades
BCSMW00M;BATA HOMBRE SMITH WIN (COLOR: BLANCO/TALLA: M);49.00;0;Unidades
BCSMW00S;BATA HOMBRE SMITH WIN (COLOR: BLANCO/TALLA: S);49.00;0;Unidades
BCSMW00XXL;BATA HOMBRE SMITH WIN (COLOR: BLANCO/TALLA: XXL);49.00;0;Unidades
